step,force
30,0.0
60,0.0
90,0.0
120,0.0
150,0.0
180,0.0
210,0.0
240,0.0
270,178.4875946044922
300,98.47376251220703
330,16.63990592956543
360,5.449664115905762
390,6.537376880645752
420,0.0
450,0.0
480,1.7405545711517334
510,3.2559425830841064
540,0.0
570,5.456410884857178
600,8.465426445007324
630,0.0
660,0.0
690,25.228099822998047
720,5.1233038902282715
750,14.412740707397461
780,6.401944160461426
810,4.521799087524414
840,25.51323127746582
870,12.193934440612793
900,0.0
930,29.312593460083008
960,20.768070220947266
990,0.0
1020,0.0
1050,15.093542098999023
1080,0.22251202166080475
1110,0.3370325267314911
1140,25.10917091369629
1170,15.03315258026123
1200,12.83834457397461
1230,18.94937515258789
1260,3.5801961421966553
1290,10.999210357666016
1320,25.208106994628906
1350,8.433221817016602
1380,0.0
1410,7.514923572540283
1440,0.0
1470,8.617712020874023
1500,29.014667510986328
1530,6.300606727600098
1560,16.173824310302734
1590,0.0
1620,6.315556526184082
1650,8.239034652709961
1680,8.63634204864502
1710,3.3818795680999756
1740,0.0
1770,9.934880256652832
1800,7.762131214141846
1830,0.0
1860,0.0
1890,5.3078532218933105
1920,3.8221662044525146
1950,6.5828938484191895
1980,0.0
2010,0.0
2040,6.971642017364502
2070,0.0
2100,2.8903865814208984
2130,0.0
2160,24.989580154418945
2190,0.0
2220,0.0
2250,0.0
2280,54.69167709350586
2310,37.774505615234375
2340,0.0
2370,5.915009021759033
2400,12.743528366088867
2430,7.881208896636963
2460,6.620746612548828
2490,0.0
2520,0.0
2550,0.0
2580,0.0
2610,7.136159420013428
2640,9.649346351623535
2670,13.950159072875977
2700,2.373265027999878
2730,0.0
2760,4.031455039978027
2790,0.0
2820,5.311447620391846
2850,0.0
2880,0.0
2910,0.0
2940,0.0
2970,0.0
3000,16.061824798583984
3030,23.44766616821289
3060,8.133626937866211
3090,22.553112030029297
3120,8.975135803222656
3150,9.085941314697266
3180,1.0564976930618286
3210,0.0
3240,8.483253479003906
3270,6.764267444610596
3300,0.0
3330,6.9594292640686035
3360,27.947372436523438
3390,0.0
3420,0.0
3450,0.0
3480,4.704906940460205
3510,0.0
3540,0.0
3570,0.0
3600,13.594656944274902
3630,0.0
3660,0.0
3690,0.0
3720,3.5408761501312256
3750,15.245463371276855
3780,6.99422550201416
3810,0.0
3840,10.434687614440918
3870,0.0
3900,11.310665130615234
3930,3.8736519813537598
3960,27.929452896118164
3990,0.0
4020,0.0
4050,0.0
4080,10.267709732055664
4110,19.492591857910156
4140,23.35650062561035
4170,8.317068099975586
4200,6.245828151702881
4230,0.0
4260,7.492459774017334
4290,0.0
4320,92.79015350341797
4350,17.416149139404297
4380,0.0
4410,64.78205871582031
4440,0.0
4470,0.0
4500,0.0
4530,31.742610931396484
4560,18.166221618652344
4590,0.0
4620,0.009061270393431187
4650,0.0
4680,0.0
4710,25.420310974121094
4740,3.7841296195983887
4770,25.335268020629883
4800,0.0
4830,37.791873931884766
4860,15.097904205322266
4890,30.598440170288086
4920,0.0
4950,10.565403938293457
4980,28.037311553955078
5010,0.0
5040,0.0
5070,0.0
5100,10.081408500671387
5130,15.86966323852539
5160,6.030467510223389
5190,2.6663284301757812
5220,2.72251033782959
5250,18.592424392700195
5280,0.0
5310,10.722914695739746
5340,0.0
5370,22.84402084350586
5400,0.0
5430,0.0
5460,24.008577346801758
5490,6.512470722198486
5520,48.53853225708008
5550,21.18800163269043
5580,0.0
5610,0.0
5640,0.0
5670,8.844159126281738
5700,0.0
5730,0.0
5760,0.0
5790,0.0
5820,92.86261749267578
5850,78.49404907226562
5880,0.0
5910,6.331811428070068
5940,0.0
5970,0.0
6000,0.0
6030,3.1682205200195312
6060,0.0
6090,0.0
6120,0.0
6150,0.0
6180,0.0
6210,0.0
6240,70.17363739013672
6270,31.097200393676758
6300,0.0
6330,30.952537536621094
6360,21.38295555114746
6390,0.0
6420,1.96245276927948
6450,0.0
6480,62.48634338378906
6510,0.0
6540,0.0
6570,0.0
6600,0.0
6630,0.0
6660,3.4883477687835693
6690,1.3316961526870728
6720,0.0
6750,0.0
6780,0.0
6810,13.441713333129883
6840,15.546174049377441
6870,8.77470874786377
6900,4.778411865234375
6930,0.0
6960,10.322694778442383
6990,4.310704231262207
7020,0.0
7050,19.33211898803711
7080,0.0
7110,4.027289390563965
7140,19.173751831054688
7170,50.56377029418945
